galaxy,n_points,RMS_5G_M_km_s,RMS_Newtonian_km_s,mean_chi_obs,mean_chi_pred,negative_g_rel_points,Mtotal_proxy_Msun
ESO563-G021,30,32.01093005555192,117.979670125645,0.8365668820436161,0.8169936454360475,3,214796308995.77066
NGC5055,28,32.0564778885426,53.47664009693142,0.5443233033576277,0.8394693654989209,6,98971810752.8407
NGC4051,7,32.813988671679084,23.60037443042511,0.32323714590231195,0.684196942324434,0,44821106515.71411
UGC06787,71,32.840346838804166,80.4478972961444,0.6492422451166536,0.4410556316048236,16,71768550180.03168
UGC12506,31,32.97710177528821,116.02345816251234,1.4537026761273872,1.1668602507700814,0,158050234912.37903
UGC07399,10,33.00784720274606,58.88791065688592,2.056009988218657,1.1553175846825394,0,1617484087.6698189
UGC02916,43,33.01124930779472,40.95808523191052,0.3048351440721057,0.4637466691154427,11,126309705108.91882
NGC0891,18,33.123598248583,42.57519820881461,0.23034532939542673,0.458851434301288,4,88920351988.76518
F568-1,12,33.246383019653585,69.70293838788194,2.0119833941337917,1.3508305868344561,0,10753126372.558365
NGC2955,24,33.90786045203213,42.64993554277889,0.2974369025546522,0.45804862487137815,2,227986382152.28873
F574-2,5,34.146681463312525,2.7969788182509565,-0.03058538331906411,1.5732572019254598,1,3659060683.2042527
UGC11557,12,34.37213344134472,11.233384574243559,-0.25446202619869557,0.9729770474019809,5,10411988718.666515
NGC7331,36,34.76875116768131,59.39346802245262,0.4333071916279371,0.69108725896005,8,162480884557.45413
UGC06973,9,36.49568139680504,43.517537448619045,0.04359732128870494,0.37683754848477385,4,32082318142.99765
UGC02953,115,36.61054532915367,86.34554693462555,0.6500600473011403,0.40033356967713135,9,161673811642.79187
UGC06614,13,39.20298884092601,65.30357718099515,0.6811235784167228,1.0161663876857479,1,133146061418.28128
UGC09037,22,40.8283012390946,38.691859305391624,0.4477863745104333,0.9887539821033108,3,63161852971.115425
UGC02455,8,43.21703418979541,17.65045838919845,-0.7524284235994128,0.8482280958271923,7,2824562375.2880206
NGC0801,13,45.08683257514442,53.955412557620825,0.49434408566290816,0.7394867087721877,2,236301234774.26874
NGC2841,50,47.36457286079699,130.5114045500069,1.1575248592342617,0.82091906593785,0,174378424075.09113
NGC4389,6,49.472599422600105,23.566294199384398,-0.6114205552898655,0.5445558443056526,5,12761277437.56554
NGC4088,12,49.58088668961671,25.396289301523897,0.19148588933230756,0.713161532482221,3,76175068405.63972
UGC11914,65,49.93827189193444,53.5297580784848,0.3953612346902106,0.02025445654310563,2,84370448749.24144
NGC6195,23,52.623162836317455,32.46587637550845,0.20437164217453002,0.5523884126880977,3,256021898516.59305
UGC02487,17,54.88977776350205,167.74717522346182,1.3064695460859805,0.9777038507863681,0,316999332531.8595
NGC4217,19,55.85203440145053,47.85850745851352,-0.0544298426331711,0.5445102835436625,8,61762878737.19747
NGC5371,19,58.03642575172727,45.30694573277187,0.4511385800326016,0.771188968573786,0,236113584731.6033
NGC5985,33,62.77996575624893,135.9777910249058,1.2910109513568724,0.8071366454365024,0,156665752878.9024
