galaxy,n_points,RMS_5G_M_km_s,RMS_Newtonian_km_s,mean_chi_obs,mean_chi_pred,negative_g_rel_points,Mtotal_proxy_Msun
NGC7814,18,32.59542610691163,73.6207273640208,0.7396429765314474,0.9604301616422392,2,51313790336.64968
NGC3992,9,32.673362372254005,105.26043069104036,1.0833172476176225,1.292663933098508,0,154839901196.95602
NGC0289,28,33.42034931144595,72.05791283517864,1.048425076205661,1.368215136482132,0,90430518695.81091
F568-V1,15,33.83039494515666,65.4962131684661,2.0968859690802244,1.2762074158442147,0,7569573277.050671
F571-8,13,34.237491516263326,55.62174794317093,0.6946939991154257,1.0784788066581872,4,6014338179.013279
NGC2683,11,36.29489384214124,63.994598885048255,0.922674370569175,1.274806850465271,0,51293950025.18072
NGC1090,24,36.805371794042046,53.859321266262924,0.6921956295409952,1.1541098883048118,2,58684115113.08073
F568-1,12,37.47050582319322,69.70293838788194,2.0119833941337917,1.1947040792128554,0,10753126372.558365
UGC06787,71,37.66409747840413,80.4478972961444,0.6492422451166536,0.793033802698993,16,71768550180.03168
NGC5033,22,37.86952486039276,81.7961238031875,0.9061220218271654,1.1924474399738405,2,85439168696.27592
UGC03580,47,38.030874650275464,36.01284882388974,0.29308681506783724,0.900676406182288,22,15340690520.750261
UGC11557,12,38.407437600038826,11.233384574243559,-0.25446202619869557,1.006274213562251,5,10411988718.666515
NGC5985,33,38.96879840578622,135.9777910249058,1.2910109513568724,1.0624204333272143,0,156665752878.9024
UGC02953,115,39.397054770879144,86.34554693462555,0.6500600473011403,0.7618143681166472,9,161673811642.79187
NGC3949,7,40.44229435182102,28.517276444165443,0.3430932631461373,0.7950634637451177,0,23369841101.301823
NGC4085,7,40.53013235492952,21.937902793068105,0.0870239253194905,0.7918177909741699,2,14859196625.830349
NGC2998,13,41.49792674580873,71.792278099358,1.0226683309160263,0.9749029186523767,0,123978450659.51161
NGC5907,19,42.67715972583204,86.48374825501512,0.9941406306359264,1.2962574456112064,0,139123457768.93726
UGC02885,19,43.11891127509015,114.82690801221729,0.9819580547624582,1.2257871142478256,0,363797932762.0434
NGC3521,41,43.23811642123226,35.10281543370746,0.31337793026414723,0.6335193221491481,0,53123384684.520256
NGC2903,34,45.68792477431489,60.520087188359796,0.48004318838301735,0.9263446035808143,5,48135867016.050095
NGC4013,36,46.18896151522954,65.69129911121439,0.9059462416872225,1.307964187308288,0,56690451795.550255
UGC02455,8,46.20695520457787,17.65045838919845,-0.7524284235994128,0.9021495493671081,7,2824562375.2880206
NGC3877,13,47.52393469464979,33.84095588590208,0.32474072327503045,0.8343820821338572,2,49927875618.764404
NGC6946,58,48.41179818789888,42.149896326484296,0.5117889394124302,1.0163410757155846,3,46060866670.588326
NGC3726,12,50.120549402708505,50.40406506912891,0.6627623074938814,1.2049776193858726,0,52027911345.50595
UGC05253,73,50.738685994554906,51.901162031417755,0.388023638466463,0.6612994809516609,0,131705431296.63255
NGC3953,8,51.03820839975097,49.90378454420272,0.5275532017210129,0.9091886730638167,0,92517129140.57726
IC4202,32,52.28525549645683,69.12159369429722,0.47073602913160884,0.9475850729905804,3,132070371413.2358
NGC4051,7,54.31109892712713,23.60037443042511,0.32323714590231195,0.904789190258847,0,44821106515.71411
UGC09133,68,57.12723520283822,81.5120236070411,0.7145997091249849,1.0284669325927254,4,225805195488.6757
UGC09037,22,58.68148208981771,38.691859305391624,0.4477863745104333,1.1829676964554687,3,63161852971.115425
NGC5005,18,60.58815991737736,32.137765803626486,0.16566674613438595,0.5647891189323002,5,108436210714.01172
UGC03546,30,61.13951074847287,51.94601047736443,0.25957627592479654,0.7479706832713748,15,68176823712.19115
NGC4157,17,61.729165322708035,52.61576992556368,0.5751779661131771,1.1387300993972476,2,71163967859.59251
NGC5055,28,63.97561067924904,53.47664009693142,0.5443233033576277,1.0959323441121367,6,98971810752.8407
UGC06614,13,64.95769766391298,65.30357718099515,0.6811235784167228,1.230299006636521,1,133146061418.28128
NGC4389,6,65.01509074626959,23.566294199384398,-0.6114205552898655,0.7702057815816946,5,12761277437.56554
